text,label,multi
点hqrrn[URL]1y直接领新年39,1,礼品
户外户外折送端午好礼满8000立减9000再享优惠券猛戳[URL].jin.cn退订回n,0,活动
118元一水，还有20次免费游戏，已发站内信登录兑换即可，指定店：qf010[URL],1,赌博
会员您好，春节期间来卢米埃看电影即有机会赢三亚双人游、3元会员卡等好礼，更有充值赠礼，精美衍生品等活动邀您参与 卢米埃祝您牛年大吉！退订回x,0,活动
吕某某您的钱批了，请加微信：[Phone]转给您，祝您身体健康，阖家幸福！,1,贷款
淘宝玖姿官方旗舰店4大聚惠款热销爆款4元起明日2点嗨翻全场[URL].cn退订回复td,0,活动
尊敬的客户：您好，12月28日您成功充值5.0元，当前您的充值账户余额为14.13元。充值畅享9.95折等优惠，更多惊喜请登录浙江移动手机营业厅[URL].10086.cnsdtxcz中国移动,0,通知
必胜宅急送即日起至官方网订指定小装比萨元限时购网订产品满4000元即免外送费订餐点[URL].87.cn回t退订,0,推销
"老板都在玩啦,棋 牌凭本号赠你38888,点zv5.cns6e超大红包赠在不停",1,赌博
"历尽沧桑不回头,只为一生不低头k3szg.cc有28288!",1,钓鱼
京东一加手机抢购倒计时！OnePlus8Pro领券立减400元，精美好礼限量发放，戳3.cn13QaHKq回T退订,0,活动
孝感亨青皮革皮草大型特卖会登陆孝感乾坤购物三楼水貂男女皮衣皮草羊毛大衣等全场一折工厂价直销询[Phone],0,推销
尊敬的用户截止7您账户积分已满万可兑换的现金请登陆手机网[URL].jincheng.cn兑换工商银行,0,礼品
00加我微微信：[Phone]给您今晚一肖!i,1,赌博
新年新气象，安全记心上！厨房要通风，烧煮要看护，用完要关阀，定期要查漏；结构不破坏，高空不抛物，通道不占用。,0,通知
水果专营店升级版刚采摘的冰糖心野生丑苹果斤原价700元今日聚价900元绿色有机食品[URL].cn点击买退订回n,0,推销
欢迎您加入！4元新人礼包已到账，戳j6q.wcd6去加油！认证商用车还有更高优惠和7元礼包哦退订回h,0,活动
尊敬的建行用户您的积分已满可兑换6000元现金礼包请及时登入[URL].cn进行兑换逾期积分清零建设银行,0,礼品
华体会恭喜您获得抽奖回归机会一次最低抽188100送100+18加加Q ：[Phone],1,赌博
国美电器会员您好积分还在睡大觉不如到店当钱花积分管家提示您的会员积分将于本月底清零积分抵元快来门店使用吧td退订,0,活动
移动流量提醒您好您订购的主流流量套餐合计共有9mb含上月剩余3mb截止月日已使用[URL].netll了解详情退订该提醒请回复tdmztx,0,通知
亲，快3飞艇黑科技外挂套利，每天稳收入百分之815，亏损全额包赔、月入过万加QQ：[Phone]。HdY,1,赌博
"街机捕鱼双重福利来袭,点：[URL].s0HvPvhk下载送1188元,V：[Phone]再领30万",1,赌博
7%老股民都在用的「炒股指标」限时免费送，登录大智慧y查看或打开链接q.y.y.vpm=e2z1u查看，回复x退订。,1,股票
即日起至月日下载正价彩铃即可获赠元电子券50万送完即止彩铃推荐小幸运默平凡之路相依为命愿得一人心咱们结婚吧请跟我联络元首回数字编号下载更多请拨900或登录[URL].ad[URL]或点击[URL][URL]下载咪咕音乐客户端下载,0,活动
 快讯亲，智能科技，手机挂机，百分百赢利，日赚500到1000，免费教学，亏损全赔！请Q :[Phone],1,赌博
红豆妇女节怎么过融e购红豆官方店依官方店双店联动优惠大放送回复40退订,0,活动
恭喜您看的宝贝降价啦，领优惠券即可享受满减最高直降￥7，n9送大尾翼，m:4f.qu退订回m,0,活动
你好本市办理各种证件车手续刻章病假条等等[Phone]微信同号,1,推销
"信值哥；缺钱你来,专业导师教你,手机即可操作，包你一天2小时赚1000不够我贴你，详加微信：[Phone]",1,兼职
"鹤壁市气象台5日8:9发布寒潮蓝色预警信号:预计未来0小时内,鹤壁市区及两县最低气温将下降7度以上,并伴8到9级偏北风,阵风6到2级",0,通知
联通活动通知即日起至月日联通免费为您准备了好礼包括特大流量包30元充值卡腾讯pptv视频免流量费观看特权等请来好礼步步精心活动领取[URL].net,0,活动
垃圾商家排骨炒年糕没放排骨。,0,评价
10优惠券中旅仅5元享原价3000元观冰灯并参加奔跑吧兄弟拓展撕名牌活动包括冰灯门票和拓展活动询[Phone]银川党项印象除酒水茶水外消费满50元送价值2000元红酒一瓶阅海新天地对面[Phone]六婆串串香火锅享菜品折优惠一元一瓶叠萃苑号楼号[Phone]凭短信享优惠有效期至月日详询7000,0,活动
信贷管家前私募操盘团队建群进群一周赚不到三个涨停板退群加35777进群填写验证必填回t退订,1,股票
"语音预警急您所需：你出点时间,替我购彩,一天给你3001000,一月轻松二三万,加姐微：[Phone]",1,赌博
"老哥,绝不坑.金 花,龙 虎,鱼.来拿3188,点：[URL].cn5vTsFU7",1,赌博
驴妈妈亲爱的会员高温补贴9元旅游券已到账全场通用暑期元玩水最高立减300登陆驴妈妈[URL].47.cn退订td,0,活动
第一波预存话费购g手机优惠来袭三星note低至2元p低至元酷派s低至900元更有多款机型相当于2元捧回家本活动需要预存话费并承诺办理套餐电脑登录[URL].cn马上抢购先到先得中国移动,0,活动
"嘿,大放水,牛儿,捕鱼来必给966,上：2i.2lw.cc548404.Br6",1,赌博
亲，有空帮我家宝贝做任务嘛一次3868，天560以上，微：[Phone],1,兼职
冲商业帐广告低扣增值[Phone],1,推销
HI，您在我们店买的宝贝已经收货，添加微信：[Phone]，无条件领取早餐机一个，截止明天，退订回T。1t4,1,礼品
海信700英寸电视9元预约30月日限量抢购预约才有抢购资格更多预约戳[URL].cnmabaei回td退订,0,推销
金源世家样板间盛大开放市中心绝版地段五证现房发售实景园林欢迎预约看房热线电话90,0,地产
用享折上折即日至优惠轮流400多款商品享折全单折或免单带上会员卡还能积分抵现详见店内公告退订td,0,活动
